"SalesID","SalesEventID","EmployeeID","ItemID","SalesUnitPrice","SalesTax","TotalSalePrice","Quantity","SalesDate"
"1","78087753-b86c-45a0-974a-abe65827a27d","2","1","1.50","0.0800","19.44","12","2020-06-19 19:34:02"
"2","78087753-b86c-45a0-974a-abe65827a27d","3","2","2.99","0.0800","155.00","48","2021-06-19 17:34:02"
"3","e3bbf41a-a9d2-4e39-8546-11beecba6c01","3","2","2.99","0.0800","77.50","24","2021-07-02 10:18:35"
"4","1ad6afbf-8ca1-453f-baf6-7be400f02595","2","4","18.99","0.0800","20.51","1","2021-07-02 10:18:35"
"5","6975613f-86db-4262-b299-8df415ed3d91","3","3","3.00","0.0800","12.96","4","2021-08-02 19:52:50"
"6","6975613f-86db-4262-b299-8df415ed3d91","3","4","4.00","0.0800","12.96","3","2021-08-02 19:52:50"
"7","6975613f-86db-4262-b299-8df415ed3d91","3","2","2.00","0.0800","4.32","2","2021-08-02 19:52:50"
"8","6975613f-86db-4262-b299-8df415ed3d91","3","1","1.00","0.0800","1.08","1","2021-08-02 19:52:50"
"9","d584433d-6cc4-4ca1-830e-16711f8e2d93","3","3","3.00","0.0800","324.00","100","2021-08-02 19:57:08"
"10","a8f4ac8b-4512-4009-ba0d-2e15c2e64edc","3","2","2.00","0.0800","10.80","5","2021-08-18 00:00:00"
"11","a8f4ac8b-4512-4009-ba0d-2e15c2e64edc","3","3","3.00","0.0800","29.16","9","2021-08-18 00:00:00"
"12","1b9010f4-1901-48b8-bd01-facb4c574360","3","2","2.00","0.0800","10.80","5","2021-05-04 00:00:00"
"13","1b9010f4-1901-48b8-bd01-facb4c574360","3","3","3.00","0.0800","29.16","9","2021-05-04 00:00:00"
"14","3774c0c9-19ab-413d-bb49-27a4742b0cc9","3","2","2.00","0.0800","10.80","5","1999-05-12 00:00:00"
"15","3774c0c9-19ab-413d-bb49-27a4742b0cc9","3","3","3.00","0.0800","29.16","9","1999-05-12 00:00:00"
"16","8f0cdbfa-202e-47fe-ab84-9bc26042b145","3","2","2.00","0.0800","8.64","4","2021-08-02 20:51:33"
"17","e5a07cd8-798a-4f5c-a42e-817f17c0630d","3","2","2.00","0.0800","8.64","4","2021-08-02 00:00:00"
"18","e5a07cd8-798a-4f5c-a42e-817f17c0630d","3","3","3.00","0.0800","16.20","5","2021-08-02 00:00:00"
"19","8f4a6c5e-33d8-4a25-ab17-8ef77ef03a68","3","4","4.00","0.0800","151.20","35","2021-08-10 00:00:00"
"20","e2b327ea-534f-4b9b-9dec-38f2418ef6b7","3","2","2.00","0.0800","97.20","45","2021-08-10 00:00:00"
"21","e2b327ea-534f-4b9b-9dec-38f2418ef6b7","3","4","4.00","0.0800","194.40","45","2021-08-10 00:00:00"
"22","e2b327ea-534f-4b9b-9dec-38f2418ef6b7","3","1","1.00","0.0800","5.40","5","2021-08-10 00:00:00"
"23","17284e69-5f9d-4bf8-b3a2-8ccb691c98cb","3","5","5.00","0.0800","54.00","10","2021-08-03 19:20:30"
"24","e8cb440c-1863-4e58-90f0-b88912d95347","3","3","3.00","0.0800","16.20","5","2021-08-19 19:21:03"
"25","f96f9047-7bc9-42db-84b7-013e2f958f01","3","3","3.00","0.0800","16.20","5","2021-08-03 19:21:03"
"26","f96f9047-7bc9-42db-84b7-013e2f958f01","3","2","2.00","0.0800","15.12","7","2021-08-03 19:21:03"
"27","5d1314cf-e3d9-4036-9814-48d471f8abc0","3","3","3.00","0.0800","16.20","5","1414-08-17 00:00:00"
"28","5d1314cf-e3d9-4036-9814-48d471f8abc0","3","2","2.00","0.0800","15.12","7","1414-08-17 00:00:00"
"29","4ed04d6d-a213-4c51-ab47-5491fad0c83b","3","1","1.00","0.0800","10800.00","10000","2021-08-03 19:57:25"
"30","def78dcd-1c99-4a51-af88-b519104bca15","3","2","2.00","0.0800","2160.00","1000","2021-08-03 19:58:21"
"31","5c65b55d-a787-41da-899f-8efe1d74ed7a","3","3","3.00","0.0800","32400.00","10000","2021-08-03 20:04:05"
"32","ac07a783-e6e7-4719-8b5a-df98d71dd5ce","3","1","1.00","0.0800","1080.00","1000","2021-08-03 20:17:43"
"33","838f04e9-d98d-43fd-b1c5-7bb7954629d0","3","1","1.00","0.0800","1080.00","1000","2021-08-03 20:18:40"
"34","d5679755-78cc-4251-882a-1e8a5d49a7dc","3","1","1.00","0.0800","10800.00","10000","2021-08-03 20:20:29"
